county,candidate,votes,fips
Lake,Donald J. Trump,91760,18089
Lake,Howie Hawkins,76,18089
Lake,James L Johnson Jr.,1,18089
Lake,Jo Jorgensen,3212,18089
Lake,Joe Schriner,0,18089
Lake,Joseph R. Biden,124870,18089
Lake,Kasey Wells,0,18089
Lake,Mitchell Williams,1,18089
Lake,Randall F,0,18089
Lake,Shawn Howard,1,18089
Lake,Valerie Mccray,1,18089
Laporte,Abram Loeb,0,18091
Laporte,Brian Carroll,0,18091
Laporte,Christopher Stried,0,18091
Laporte,Deborah Rouse,0,18091
Laporte,Donald J. Trump,25997,18091
Laporte,Howie Hawkins,0,18091
Laporte,James L Johnson Jr.,0,18091
Laporte,Jo Jorgensen,968,18091
Laporte,Joe Schriner,0,18091
Laporte,Joseph R. Biden,22427,18091
Laporte,Kasey Wells,0,18091
Laporte,Mitchell Williams,0,18091
Laporte,Randall F,0,18091
Laporte,Shawn Howard,0,18091
Laporte,Valerie Mccray,0,18091
Lawrence,Abram Loeb,0,18093
Lawrence,Brian Carroll,0,18093
Lawrence,Christopher Stried,0,18093
Lawrence,Deborah Rouse,0,18093
Lawrence,Donald J. Trump,15601,18093
Lawrence,Howie Hawkins,0,18093
Lawrence,James L Johnson Jr.,0,18093
Lawrence,Jo Jorgensen,463,18093
Lawrence,Joe Schriner,0,18093
Lawrence,Joseph R. Biden,4961,18093
Lawrence,Kasey Wells,0,18093
Lawrence,Mitchell Williams,0,18093
Lawrence,Randall F,0,18093
Lawrence,Shawn Howard,0,18093
Lawrence,Valerie Mccray,0,18093
Madison,Abram Loeb,0,18095
Madison,Brian Carroll,14,18095
Madison,Christopher Stried,0,18095
Madison,Deborah Rouse,0,18095
Madison,Donald J. Trump,31215,18095
Madison,Howie Hawkins,12,18095
Madison,James L Johnson Jr.,0,18095
Madison,Jo Jorgensen,1026,18095
Madison,Joe Schriner,1,18095
Madison,Joseph R. Biden,19524,18095
Madison,Kasey Wells,0,18095
Madison,Mitchell Williams,0,18095
Madison,Randall F,0,18095
Madison,Shawn Howard,0,18095
Madison,Valerie Mccray,1,18095
Marion,Abram Loeb,0,18097
